DOBEC;OBEC;OKRES;PSC;DPOSTA;POSTA;KOD_OKR;KRAJ;PSC_bez
Beòušovce;Beòušovce;Liptovskı Mikuláš;031 01;Liptovskı Mikuláš 1;Liptovskı Mikuláš 1;505;ZI;03101
Bernátovce;Bernátovce;Košice-okolie;044 13;Valaliky;Valaliky;806;KI;04413
Bernolákovo;Bernolákovo;Senec;900 27;Bernolákovo;Bernolákovo;108;BL;90027
Bertotovce;Bertotovce;Prešov;082 35;Hendrichovce;Hendrichovce;707;PV;08235
Besné;Besné;Povaská Bystrica;018 02;Dolná Mariková;Dolná Mariková;306;TC;01802
Beša;Beša;Levice;935 36;Beša;Beša;402;NI;93536
Beša;Beša;Michalovce;076 72;Vojany;Vojany;807;KI;07672
Bešeòov;Bešeòov;Nové Zámky;941 41;Bešeòov;Bešeòov;404;NI;94141
Bešeòová;Bešeòová;Ruomberok;034 83;Liptovská Teplá;Liptovská Teplá;508;ZI;03483
Betlanovce;Betlanovce;Spišská Nová Ves;053 15;Hrabušice;Hrabušice;810;KI;05315
Betlenovce;Betlenovce;Michalovce;071 01;Michalovce 1;Michalovce 1;807;KI;07101
Betliar;Betliar;Roòava;049 21;Betliar;Betliar;808;KI;04921
Bezdedov - Vieska;Bezdedov - Vieska;Púchov;020 01;Púchov 1;Púchov 1;308;TC;02001
Beovce;Beovce;Sobrance;072 53;Beovce;Beovce;809;KI;07253
Bidovce;Bidovce;Košice-okolie;044 45;Bidovce;Bidovce;806;KI;04445
Biel;Biel;Trebišov;076 41;Biel;Biel;811;KI;07641
Biela;Biela;Dolnı Kubín;027 05;Zázrivá;Zázrivá;503;ZI;02705
Biela Voda;Biela Voda;Prievidza;972 29;Èavoj;Èavoj;307;TC;97229
Biele Vody;Biele Vody;Brezno;976 53;Lom nad Rimavicou;Lom nad Rimavicou;603;BC;97653
Biele Vody;Biele Vody;Spišská Nová Ves;053 76;Mlynky;Mlynky;810;KI;05376
Bielovce;Bielovce;Levice;935 74;Pastovce;Pastovce;402;NI;93574
Biely Kostol;Biely Kostol;Trnava;919 34;Biely Kostol;Biely Kostol;207;TA;91934
Biely Potok;Biely Potok;Ruomberok;034 03;Ruomberok 3;Ruomberok 3;508;ZI;03403
Bijacovce;Bijacovce;Levoèa;053 06;Bijacovce;Bijacovce;704;PV;05306
Bílkove Humence;Bílkove Humence;Senica;908 77;Borskı Mikuláš;Borskı Mikuláš;205;TA;90877
Bíòa;Bíòa;Nové Zámky;943 56;Bíòa;Bíòa;404;NI;94356
Bindt;Bindt;Spišská Nová Ves;053 32;Hnilèík;Hnilèík;810;KI;05332
Bíòovce;Bíòovce;Trnava;919 07;Bíòovce;Bíòovce;207;TA;91907
Biskupice;Biskupice;Bánovce nad Bebravou;957 01;Bánovce nad Bebravou 1;Bánovce nad Beb. 1;301;TC;95701
Biskupice;Biskupice;Luèenec;986 01;Fi¾akovo;Fi¾akovo;606;BC;98601
Biskupice;Biskupice;Trenèín;911 01;Trenèín 1;Trenèín 1;309;TC;91101
Biskupová;Biskupová;Topo¾èany;956 07;Ve¾ké Ripòany;Ve¾ké Ripòany;406;NI;95607
Bitarová;Bitarová;ilina;010 04;ilina 4;ilina 4;511;ZI;01004
Blahová;Blahová;Dunajská Streda;930 52;Blahová;Blahová;201;TA;93052
Blatná na Ostrove;Blatná na Ostrove;Dunajská Streda;930 32;Blatná na Ostrove;Blatná na Ostrove;201;TA;93032
Blatná Polianka;Blatná Polianka;Sobrance;072 44;Blatné Remety;Blatné Remety;809;KI;07244
Blatné;Blatné;Senec;900 82;Blatné pri Senci;Blatné pri Senci;108;BL;90082
Blatné Remety;Blatné Remety;Sobrance;072 44;Blatné Remety;Blatné Remety;809;KI;07244
Blatné Revištia;Blatné Revištia;Sobrance;072 43;Ve¾ké Revištia;Ve¾ké Revištia;809;KI;07243
Blatnica;Blatnica;Martin;038 15;Blatnica pri Martine;Blatnica pri Martine;506;ZI;03815
Blaice;Blaice;Košice-okolie;044 16;Bohdanovce pri Košiciach;Bohdanovce pri Koš.;806;KI;04416
Blakov;Blakov;Èadca;023 02;Krásno nad Kysucou;Krásno nad Kysucou;502;ZI;02302
Blaková;Blaková;Èadca;023 11;Zákopèie;Zákopèie;502;ZI;02311
Blaovce;Blaovce;Turèianske Teplice;038 44;Jazernica;Jazernica;509;ZI;03844
Blesovce;Blesovce;Topo¾èany;956 01;Bojná;Bojná;406;NI;95601
Blhovce;Blhovce;Rimavská Sobota;980 32;Blhovce;Blhovce;609;BC;98032
Bobot;Bobot;Trenèín;913 25;Bobot;Bobot;309;TC;91325
Bobotská Lehota;Bobotská Lehota;Trenèín;913 25;Bobot;Bobot;309;TC;91325
Bobrov;Bobrov;Námestovo;029 42;Bobrov;Bobrov;507;ZI;02942
Bobrovèek;Bobrovèek;Liptovskı Mikuláš;032 21;Bobrovec;Bobrovec;505;ZI;03221
Bobrovec;Bobrovec;Liptovskı Mikuláš;032 21;Bobrovec;Bobrovec;505;ZI;03221
Bobrovník;Bobrovník;Liptovskı Mikuláš;032 23;Liptovská Sielnica;Liptovská Sielnica;505;ZI;03223
Boèiar;Boèiar;Košice-okolie;044 57;Haniska;Haniska;806;KI;04457
Bodice;Bodice;Liptovskı Mikuláš;031 01;Liptovskı Mikuláš 1;Liptovskı Mikuláš 1;505;ZI;03101
Bodíky;Bodíky;Dunajská Streda;930 31;Vojka nad Dunajom;Vojka nad Dunajom;201;TA;93031
Bodiná;Bodiná;Povaská Bystrica;018 15;Preèín;Preèín;306;TC;01815
Bodok;Bodok;Topo¾èany;956 08;Horné Obdokovce;Horné Obdokovce;406;NI;95608
Bodorová;Bodorová;Turèianske Teplice;038 45;Malı Èepèín;Malı Èepèín;509;ZI;03845
Bodov;Bodov;Senec;903 01;Senec;Senec;108;BL;90301
Bodovce;Bodovce;Sabinov;082 66;Uzovce;Uzovce;708;PV;08266
Bodovka - Krivosúd;Bodovka - Krivosúd;Trenèín;913 11;Trenèianske Stankovce;Trenè.Stankovce;309;TC;91311
Bodrual;Bodrual;Svidník;090 05;Krajná Po¾ana;Krajná Po¾ana;712;PV;09005
Bodza;Bodza;Komárno;946 16;Bodza;Bodza;401;NI;94616
Bodzianske Lúky;Bodzianske Lúky;Komárno;946 14;Zemianska Olèa;Zemianska Olèa;401;NI;94614
Bogliarka;Bogliarka;Bardejov;086 04;Krulov;Krulov;701;PV;08604
Bohatá;Bohatá;Komárno;947 03;Hurbanovo 3;Hurbanovo 3;401;NI;94703
Bohdanovce;Bohdanovce;Košice-okolie;044 16;Bohdanovce pri Košiciach;Bohdanovce pri Koš.;806;KI;04416
Bohdanovce nad Trnavou;Bohdanovce n/Trnavou;Trnava;919 09;Bohdanovce nad Trnavou;Bohdanovce nad Trn.;207;TA;91909
Bohe¾ov;Bohe¾ov;Dunajská Streda;929 01;Dunajská Streda 1;Dunajská Streda 1;201;TA;92901
Bohunice;Bohunice;Trnava;919 30;Jaslovské Bohunice;Jaslovské Bohunice;207;TA;91930
Bohunice;Bohunice;Ilava;018 52;Pruské;Pruské;302;TC;01852
Bohunice;Bohunice;Levice;935 05;Pukanec;Pukanec;402;NI;93505
Bohúòovo;Bohúòovo;Roòava;049 12;Gemerská Hôrka;Gemerská Hôrka;808;KI;04912
Bojná;Bojná;Topo¾èany;956 01;Bojná;Bojná;406;NI;95601
Bojnice;Bojnice;Prievidza;972 01;Bojnice;Bojnice;307;TC;97201
Bojnice - kúpele;Bojnice - kúpele;Prievidza;972 01;Bojnice;Bojnice;307;TC;97201
Bojnièky;Bojnièky;Hlohovec;920 55;Bojnièky;Bojnièky;203;TA;92055
Bokroš;Bokroš;Komárno;946 39;Ia;Ia;401;NI;94639
Bokša;Bokša;Stropkov;091 01;Stropkov;Stropkov;711;PV;09101
Bo¾;Bo¾;Trebišov;076 53;Bo¾;Bo¾;811;KI;07653
Boldog;Boldog;Senec;925 26;Reca;Reca;108;BL;92526
Boleráz;Boleráz;Trnava;919 08;Boleráz;Boleráz;207;TA;91908
Bolešov;Bolešov;Ilava;018 53;Bolešov;Bolešov;302;TC;01853
Boliarov;Boliarov;Košice-okolie;044 47;Kecerovce;Kecerovce;806;KI;04447
Bo¾kovce;Bo¾kovce;Luèenec;984 01;Luèenec 1;Luèenec 1;606;BC;98401
Borcová;Borcová;Turèianske Teplice;038 44;Jazernica;Jazernica;509;ZI;03844
